Vid,Cid,RepliesToId,Comments,uniqueId,videoWebUrl,clean_comments,tokens,tokens_no_stopwords,lemmatized,final_text
1,7.30831e+18,7.31e+18,Boleh PM akak noori utk bantuan 🤗,noori_ahlifarmasi,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,boleh pm akak noori utk bantuan,"['boleh', 'pm', 'akak', 'noori', 'utk', 'bantuan']","['boleh', 'pm', 'akak', 'noori', 'utk', 'bantuan']","['boleh', 'pm', 'akak', 'noori', 'utk', 'bantuan']",boleh pm akak noori utk bantuan
1,7.44719e+18,7.45e+18,Maksud,muhdd_alepp,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,maksud,['maksud'],['maksud'],['maksud'],maksud
1,7.25342e+18,7.24e+18,"sama werhh,tpi tk yakin heheh",rayraingg,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,sama werhhtpi tk yakin heheh,"['sama', 'werhhtpi', 'tk', 'yakin', 'heheh']","['sama', 'werhhtpi', 'tk', 'yakin', 'heheh']","['sama', 'werhhtpi', 'tk', 'yakin', 'heheh']",sama werhhtpi tk yakin heheh
1,7.25342e+18,7.24e+18,btl ii,nisss498,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,btl ii,"['btl', 'ii']","['btl', 'ii']","['btl', 'ii']",btl ii
1,7.32706e+18,7.24e+18,tu ah semua complite 😔,mariaalanie,https://www.tiktok.com/@noori_ahlifarmasi/video/7228950886893096197,tu ah semua complite,"['tu', 'ah', 'semua', 'complite']","['tu', 'ah', 'semua', 'complite']","['tu', 'ah', 'semua', 'complite']",tu ah semua complite
2,7.4651e+18,7.24e+18,I have a couple questions,skt_tuxx,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,i have a couple questions,"['i', 'have', 'a', 'couple', 'questions']","['couple', 'questions']","['couple', 'question']",couple question
2,7.46836e+18,7.27e+18,😢😔,iyana6872,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,,[],[],[],
2,7.49109e+18,7.24e+18,Yess 😭,scarl.xx25,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,yess,['yess'],['yess'],['yes'],yes
2,7.24981e+18,7.24e+18,SAMEEE. And my stomach growls as if I’m hungry. Or I feel like i need to get up,ttluvsyouuuu,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,sameee and my stomach growls as if im hungry or i feel like i need to get up,"['sameee', 'and', 'my', 'stomach', 'growls', 'as', 'if', 'im', 'hungry', 'or', 'i', 'feel', 'like', 'i', 'need', 'to', 'get', 'up']","['sameee', 'stomach', 'growls', 'im', 'hungry', 'feel', 'like', 'need', 'get']","['sameee', 'stomach', 'growl', 'im', 'hungry', 'feel', 'like', 'need', 'get']",sameee stomach growl im hungry feel like need get
2,7.23992e+18,7.24e+18,go to Raphtripper on In$tagram for guide,williamss63,https://www.tiktok.com/@healinghumanity777/video/7239806193215032619,go to raphtripper on intagram for guide,"['go', 'to', 'raphtripper', 'on', 'intagram', 'for', 'guide']","['go', 'raphtripper', 'intagram', 'guide']","['go', 'raphtripper', 'intagram', 'guide']",go raphtripper intagram guide
3,7.24431e+18,,Mines got so bad recently that I’m scared to eat incase i have a heart attack,thecommander60,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,mines got so bad recently that im scared to eat incase i have a heart attack,"['mines', 'got', 'so', 'bad', 'recently', 'that', 'im', 'scared', 'to', 'eat', 'incase', 'i', 'have', 'a', 'heart', 'attack']","['mines', 'got', 'bad', 'recently', 'im', 'scared', 'eat', 'incase', 'heart', 'attack']","['mine', 'got', 'bad', 'recently', 'im', 'scared', 'eat', 'incase', 'heart', 'attack']",mine got bad recently im scared eat incase heart attack
3,7.34177e+18,,I suffer from health anxiety and I've had cbt therapy but I'm still struggling.,fortheanimals1,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,i suffer from health anxiety and ive had cbt therapy but im still struggling,"['i', 'suffer', 'from', 'health', 'anxiety', 'and', 'ive', 'had', 'cbt', 'therapy', 'but', 'im', 'still', 'struggling']","['suffer', 'health', 'anxiety', 'ive', 'cbt', 'therapy', 'im', 'still', 'struggling']","['suffer', 'health', 'anxiety', 'ive', 'cbt', 'therapy', 'im', 'still', 'struggling']",suffer health anxiety ive cbt therapy im still struggling
3,7.40419e+18,,@Dr Ebuka Herbs 🌿 remedies @Ebuka herbal 🌿 clinic 💯🥰,elijah.obama,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,dr ebuka herbs remedies ebuka herbal clinic,"['dr', 'ebuka', 'herbs', 'remedies', 'ebuka', 'herbal', 'clinic']","['dr', 'ebuka', 'herbs', 'remedies', 'ebuka', 'herbal', 'clinic']","['dr', 'ebuka', 'herb', 'remedy', 'ebuka', 'herbal', 'clinic']",dr ebuka herb remedy ebuka herbal clinic
3,7.23814e+18,,"you said you can't think your way out of HA but actually telling yourself you're safe, that you don't need to be in control of everything 100% of the",wrathbringer2202,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,you said you cant think your way out of ha but actually telling yourself youre safe that you dont need to be in control of everything of the,"['you', 'said', 'you', 'cant', 'think', 'your', 'way', 'out', 'of', 'ha', 'but', 'actually', 'telling', 'yourself', 'youre', 'safe', 'that', 'you', 'dont', 'need', 'to', 'be', 'in', 'control', 'of', 'everything', 'of', 'the']","['said', 'cant', 'think', 'way', 'ha', 'actually', 'telling', 'youre', 'safe', 'dont', 'need', 'control', 'everything']","['said', 'cant', 'think', 'way', 'ha', 'actually', 'telling', 'youre', 'safe', 'dont', 'need', 'control', 'everything']",said cant think way ha actually telling youre safe dont need control everything
3,7.32964e+18,,🥰❤️👍,chizzy24_,https://www.tiktok.com/@alexhowardtherapy/video/7225319946706832667,,[],[],[],
4,7.46149e+18,7.46e+18,that he's still out there driving is a nightmare,gaillewis7,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,that hes still out there driving is a nightmare,"['that', 'hes', 'still', 'out', 'there', 'driving', 'is', 'a', 'nightmare']","['hes', 'still', 'driving', 'nightmare']","['he', 'still', 'driving', 'nightmare']",he still driving nightmare
4,7.46306e+18,7.46e+18,"Hey lovely fan,""kindly click on my current page and send me an direct message'thanks!❤",cooperalaan29,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,hey lovely fankindly click on my current page and send me an direct messagethanks,"['hey', 'lovely', 'fankindly', 'click', 'on', 'my', 'current', 'page', 'and', 'send', 'me', 'an', 'direct', 'messagethanks']","['hey', 'lovely', 'fankindly', 'click', 'current', 'page', 'send', 'direct', 'messagethanks']","['hey', 'lovely', 'fankindly', 'click', 'current', 'page', 'send', 'direct', 'messagethanks']",hey lovely fankindly click current page send direct messagethanks
4,7.4824e+18,7.46e+18,control is a massive thing of anxiety because the fear of losing control,misunderstood_dave,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,control is a massive thing of anxiety because the fear of losing control,"['control', 'is', 'a', 'massive', 'thing', 'of', 'anxiety', 'because', 'the', 'fear', 'of', 'losing', 'control']","['control', 'massive', 'thing', 'anxiety', 'fear', 'losing', 'control']","['control', 'massive', 'thing', 'anxiety', 'fear', 'losing', 'control']",control massive thing anxiety fear losing control
4,7.48134e+18,7.48e+18,I’ll be thinking of you. They are so hard to start but I’m hopeful,tay.ler22,https://www.tiktok.com/@anxietyjosh/video/7460206689355074822,ill be thinking of you they are so hard to start but im hopeful,"['ill', 'be', 'thinking', 'of', 'you', 'they', 'are', 'so', 'hard', 'to', 'start', 'but', 'im', 'hopeful']","['ill', 'thinking', 'hard', 'start', 'im', 'hopeful']","['ill', 'thinking', 'hard', 'start', 'im', 'hopeful']",ill thinking hard start im hopeful
5,7.33509e+18,7.32e+18,Found a natural way to help my anxiety- life changing 😀,lorilovebrotherton,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,found a natural way to help my anxiety life changing,"['found', 'a', 'natural', 'way', 'to', 'help', 'my', 'anxiety', 'life', 'changing']","['found', 'natural', 'way', 'help', 'anxiety', 'life', 'changing']","['found', 'natural', 'way', 'help', 'anxiety', 'life', 'changing']",found natural way help anxiety life changing
5,7.33492e+18,,"The only motivation I have left in me is for my baby , she is the only one making me feel light , because idk what I would’ve done with my thoughts , I don’t think I would be here anymore honestly",miiamurillo,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,the only motivation i have left in me is for my baby she is the only one making me feel light because idk what i wouldve done with my thoughts i dont think i would be here anymore honestly,"['the', 'only', 'motivation', 'i', 'have', 'left', 'in', 'me', 'is', 'for', 'my', 'baby', 'she', 'is', 'the', 'only', 'one', 'making', 'me', 'feel', 'light', 'because', 'idk', 'what', 'i', 'wouldve', 'done', 'with', 'my', 'thoughts', 'i', 'dont', 'think', 'i', 'would', 'be', 'here', 'anymore', 'honestly']","['motivation', 'left', 'baby', 'one', 'making', 'feel', 'light', 'idk', 'wouldve', 'done', 'thoughts', 'dont', 'think', 'would', 'anymore', 'honestly']","['motivation', 'left', 'baby', 'one', 'making', 'feel', 'light', 'idk', 'wouldve', 'done', 'thought', 'dont', 'think', 'would', 'anymore', 'honestly']",motivation left baby one making feel light idk wouldve done thought dont think would anymore honestly
5,7.40309e+18,,How we never get told what the cure is?,oceandawn7,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,how we never get told what the cure is,"['how', 'we', 'never', 'get', 'told', 'what', 'the', 'cure', 'is']","['never', 'get', 'told', 'cure']","['never', 'get', 'told', 'cure']",never get told cure
5,7.32048e+18,,It’s awful at least I’m not alone,jodee927,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,its awful at least im not alone,"['its', 'awful', 'at', 'least', 'im', 'not', 'alone']","['awful', 'least', 'im', 'alone']","['awful', 'least', 'im', 'alone']",awful least im alone
5,7.40164e+18,,"i was out a walk earlier today, i had such a nice day and suddenly i was overwhelmed and struggling to breath with no reason, and realising that there was no reason to feel that way made me feel worse",oliv111a,https://www.tiktok.com/@garybrecka.shorts/video/7229931081275919659,i was out a walk earlier today i had such a nice day and suddenly i was overwhelmed and struggling to breath with no reason and realising that there was no reason to feel that way made me feel worse,"['i', 'was', 'out', 'a', 'walk', 'earlier', 'today', 'i', 'had', 'such', 'a', 'nice', 'day', 'and', 'suddenly', 'i', 'was', 'overwhelmed', 'and', 'struggling', 'to', 'breath', 'with', 'no', 'reason', 'and', 'realising', 'that', 'there', 'was', 'no', 'reason', 'to', 'feel', 'that', 'way', 'made', 'me', 'feel', 'worse']","['walk', 'earlier', 'today', 'nice', 'day', 'suddenly', 'overwhelmed', 'struggling', 'breath', 'reason', 'realising', 'reason', 'feel', 'way', 'made', 'feel', 'worse']","['walk', 'earlier', 'today', 'nice', 'day', 'suddenly', 'overwhelmed', 'struggling', 'breath', 'reason', 'realising', 'reason', 'feel', 'way', 'made', 'feel', 'worse']",walk earlier today nice day suddenly overwhelmed struggling breath reason realising reason feel way made feel worse
6,7.22841e+18,7.23e+18,"Thankfully she’s got you as a mom! When she’s ready, helping her understand the physiology of it and the foundations of health might be useful 💜🙏",jpwhit,https://www.tiktok.com/@jpwhit/video/7227174462037183790,thankfully shes got you as a mom when shes ready helping her understand the physiology of it and the foundations of health might be useful,"['thankfully', 'shes', 'got', 'you', 'as', 'a', 'mom', 'when', 'shes', 'ready', 'helping', 'her', 'understand', 'the', 'physiology', 'of', 'it', 'and', 'the', 'foundations', 'of', 'health', 'might', 'be', 'useful']","['thankfully', 'shes', 'got', 'mom', 'shes', 'ready', 'helping', 'understand', 'physiology', 'foundations', 'health', 'might', 'useful']","['thankfully', 'shes', 'got', 'mom', 'shes', 'ready', 'helping', 'understand', 'physiology', 'foundation', 'health', 'might', 'useful']",thankfully shes got mom shes ready helping understand physiology foundation health might useful
6,7.22841e+18,7.23e+18,Got 1-2 that work for you that you’re open to sharing? 🙏,jpwhit,https://www.tiktok.com/@jpwhit/video/7227174462037183790,got that work for you that youre open to sharing,"['got', 'that', 'work', 'for', 'you', 'that', 'youre', 'open', 'to', 'sharing']","['got', 'work', 'youre', 'open', 'sharing']","['got', 'work', 'youre', 'open', 'sharing']",got work youre open sharing
6,7.22841e+18,7.23e+18,Agreed! For years I thought I was a broken human. Recognizing I had it & understanding the physiological symptoms went a long way to saving my life 💜,jpwhit,https://www.tiktok.com/@jpwhit/video/7227174462037183790,agreed for years i thought i was a broken human recognizing i had it understanding the physiological symptoms went a long way to saving my life,"['agreed', 'for', 'years', 'i', 'thought', 'i', 'was', 'a', 'broken', 'human', 'recognizing', 'i', 'had', 'it', 'understanding', 'the', 'physiological', 'symptoms', 'went', 'a', 'long', 'way', 'to', 'saving', 'my', 'life']","['agreed', 'years', 'thought', 'broken', 'human', 'recognizing', 'understanding', 'physiological', 'symptoms', 'went', 'long', 'way', 'saving', 'life']","['agreed', 'year', 'thought', 'broken', 'human', 'recognizing', 'understanding', 'physiological', 'symptom', 'went', 'long', 'way', 'saving', 'life']",agreed year thought broken human recognizing understanding physiological symptom went long way saving life
6,7.41761e+18,7.23e+18,"I really hope this dosent happen to me, I have so bad anxiety that I’m scared to eat bc I’m just nauseous",iinanotherlyfe,https://www.tiktok.com/@jpwhit/video/7227174462037183790,i really hope this dosent happen to me i have so bad anxiety that im scared to eat bc im just nauseous,"['i', 'really', 'hope', 'this', 'dosent', 'happen', 'to', 'me', 'i', 'have', 'so', 'bad', 'anxiety', 'that', 'im', 'scared', 'to', 'eat', 'bc', 'im', 'just', 'nauseous']","['really', 'hope', 'dosent', 'happen', 'bad', 'anxiety', 'im', 'scared', 'eat', 'bc', 'im', 'nauseous']","['really', 'hope', 'dosent', 'happen', 'bad', 'anxiety', 'im', 'scared', 'eat', 'bc', 'im', 'nauseous']",really hope dosent happen bad anxiety im scared eat bc im nauseous
6,7.22966e+18,7.23e+18,"I would really appreciate tips or reassurance, as my own drs have assured me nothing is wrong. But I freak about about every body pain/tensioI feel!!",username7777777109,https://www.tiktok.com/@jpwhit/video/7227174462037183790,i would really appreciate tips or reassurance as my own drs have assured me nothing is wrong but i freak about about every body paintensioi feel,"['i', 'would', 'really', 'appreciate', 'tips', 'or', 'reassurance', 'as', 'my', 'own', 'drs', 'have', 'assured', 'me', 'nothing', 'is', 'wrong', 'but', 'i', 'freak', 'about', 'about', 'every', 'body', 'paintensioi', 'feel']","['would', 'really', 'appreciate', 'tips', 'reassurance', 'drs', 'assured', 'nothing', 'wrong', 'freak', 'every', 'body', 'paintensioi', 'feel']","['would', 'really', 'appreciate', 'tip', 'reassurance', 'drs', 'assured', 'nothing', 'wrong', 'freak', 'every', 'body', 'paintensioi', 'feel']",would really appreciate tip reassurance drs assured nothing wrong freak every body paintensioi feel
7,7.14134e+18,7.14e+18,Anytime!,drbergofficial,https://www.tiktok.com/@drbergofficial/video/7140682349284543745,anytime,['anytime'],['anytime'],['anytime'],anytime
7,7.14231e+18,7.14e+18,Yes,drbergofficial,https://www.tiktok.com/@drbergofficial/video/7140682349284543745,yes,['yes'],['yes'],['yes'],yes
7,7.14134e+18,7.14e+18,Thank you for sharing!,drbergofficial,https://www.tiktok.com/@drbergofficial/video/7140682349284543745,thank you for sharing,"['thank', 'you', 'for', 'sharing']","['thank', 'sharing']","['thank', 'sharing']",thank sharing
7,7.14133e+18,7.14e+18,"Hi there! Look for this video of Dr. Berg on YouTube as it may help:
Top Foods High in Vitamin B1",drbergofficial,https://www.tiktok.com/@drbergofficial/video/7140682349284543745,hi there look for this video of dr berg on youtube as it may help top foods high in vitamin b,"['hi', 'there', 'look', 'for', 'this', 'video', 'of', 'dr', 'berg', 'on', 'youtube', 'as', 'it', 'may', 'help', 'top', 'foods', 'high', 'in', 'vitamin', 'b']","['hi', 'look', 'video', 'dr', 'berg', 'youtube', 'may', 'help', 'top', 'foods', 'high', 'vitamin', 'b']","['hi', 'look', 'video', 'dr', 'berg', 'youtube', 'may', 'help', 'top', 'food', 'high', 'vitamin', 'b']",hi look video dr berg youtube may help top food high vitamin b
7,7.14618e+18,7.14e+18,"Thanks for your input.
Dr. Berg's Support Team",drbergofficial,https://www.tiktok.com/@drbergofficial/video/7140682349284543745,thanks for your input dr bergs support team,"['thanks', 'for', 'your', 'input', 'dr', 'bergs', 'support', 'team']","['thanks', 'input', 'dr', 'bergs', 'support', 'team']","['thanks', 'input', 'dr', 'berg', 'support', 'team']",thanks input dr berg support team
8,7.10704e+18,7.11e+18,"Have you tried the Spirit Molecule if No then check ""rose_psychede"" on Instagram for self examination and get an intense psychedelic experience.",alicegreen32,https://www.tiktok.com/@drtraceymarks/video/7104998717333376302,have you tried the spirit molecule if no then check rose_psychede on instagram for self examination and get an intense psychedelic experience,"['have', 'you', 'tried', 'the', 'spirit', 'molecule', 'if', 'no', 'then', 'check', 'rose_psychede', 'on', 'instagram', 'for', 'self', 'examination', 'and', 'get', 'an', 'intense', 'psychedelic', 'experience']","['tried', 'spirit', 'molecule', 'check', 'rose_psychede', 'instagram', 'self', 'examination', 'get', 'intense', 'psychedelic', 'experience']","['tried', 'spirit', 'molecule', 'check', 'rose_psychede', 'instagram', 'self', 'examination', 'get', 'intense', 'psychedelic', 'experience']",tried spirit molecule check rose_psychede instagram self examination get intense psychedelic experience
8,7.13672e+18,7.14e+18,"version of ""nothing matters"" is way different from what u think
its not just the thoughts abt that life is short, nothing matters, space is huge",rozparany_abdomen,https://www.tiktok.com/@drtraceymarks/video/7104998717333376302,version of nothing matters is way different from what u think its not just the thoughts abt that life is short nothing matters space is huge,"['version', 'of', 'nothing', 'matters', 'is', 'way', 'different', 'from', 'what', 'u', 'think', 'its', 'not', 'just', 'the', 'thoughts', 'abt', 'that', 'life', 'is', 'short', 'nothing', 'matters', 'space', 'is', 'huge']","['version', 'nothing', 'matters', 'way', 'different', 'u', 'think', 'thoughts', 'abt', 'life', 'short', 'nothing', 'matters', 'space', 'huge']","['version', 'nothing', 'matter', 'way', 'different', 'u', 'think', 'thought', 'abt', 'life', 'short', 'nothing', 'matter', 'space', 'huge']",version nothing matter way different u think thought abt life short nothing matter space huge
8,7.1055e+18,,it's always so hard....,navvile,https://www.tiktok.com/@drtraceymarks/video/7104998717333376302,its always so hard,"['its', 'always', 'so', 'hard']","['always', 'hard']","['always', 'hard']",always hard
8,7.13707e+18,,as a nihilist who experiences deppresive episodes with nihilistic delusions... I just wanna say that u can feel the difference between ur regular /1,xunyicao_carp,https://www.tiktok.com/@drtraceymarks/video/7104998717333376302,as a nihilist who experiences deppresive episodes with nihilistic delusions i just wanna say that u can feel the difference between ur regular,"['as', 'a', 'nihilist', 'who', 'experiences', 'deppresive', 'episodes', 'with', 'nihilistic', 'delusions', 'i', 'just', 'wan', 'na', 'say', 'that', 'u', 'can', 'feel', 'the', 'difference', 'between', 'ur', 'regular']","['nihilist', 'experiences', 'deppresive', 'episodes', 'nihilistic', 'delusions', 'wan', 'na', 'say', 'u', 'feel', 'difference', 'ur', 'regular']","['nihilist', 'experience', 'deppresive', 'episode', 'nihilistic', 'delusion', 'wan', 'na', 'say', 'u', 'feel', 'difference', 'ur', 'regular']",nihilist experience deppresive episode nihilistic delusion wan na say u feel difference ur regular
8,7.13453e+18,,Real,hairylemon39,https://www.tiktok.com/@drtraceymarks/video/7104998717333376302,real,['real'],['real'],['real'],real
9,7.24176e+18,7.19e+18,Have you had any success ?,kaykay__70,https://www.tiktok.com/@doctorkendramd/video/7093829092390292779,have you had any success,"['have', 'you', 'had', 'any', 'success']",['success'],['success'],success
9,7.41098e+18,7.41e+18,See my anxiety freebie in bio link! You may need more if anxiety isn’t better. 💜,doctorkendramd,https://www.tiktok.com/@doctorkendramd/video/7093829092390292779,see my anxiety freebie in bio link you may need more if anxiety isnt better,"['see', 'my', 'anxiety', 'freebie', 'in', 'bio', 'link', 'you', 'may', 'need', 'more', 'if', 'anxiety', 'isnt', 'better']","['see', 'anxiety', 'freebie', 'bio', 'link', 'may', 'need', 'anxiety', 'isnt', 'better']","['see', 'anxiety', 'freebie', 'bio', 'link', 'may', 'need', 'anxiety', 'isnt', 'better']",see anxiety freebie bio link may need anxiety isnt better
9,7.17065e+18,7.17e+18,Same! 😁,doctorkendramd,https://www.tiktok.com/@doctorkendramd/video/7093829092390292779,same,['same'],[],[],
9,7.18459e+18,7.18e+18,bcoz the root cause never gets addressed. just addressing the symptom is not enough. 💚💚,doctorkendramd,https://www.tiktok.com/@doctorkendramd/video/7093829092390292779,bcoz the root cause never gets addressed just addressing the symptom is not enough,"['bcoz', 'the', 'root', 'cause', 'never', 'gets', 'addressed', 'just', 'addressing', 'the', 'symptom', 'is', 'not', 'enough']","['bcoz', 'root', 'cause', 'never', 'gets', 'addressed', 'addressing', 'symptom', 'enough']","['bcoz', 'root', 'cause', 'never', 'get', 'addressed', 'addressing', 'symptom', 'enough']",bcoz root cause never get addressed addressing symptom enough
9,7.37239e+18,7.37e+18,No unless you have severe kidney disease and even then it’s hard to OD.,doctorkendramd,https://www.tiktok.com/@doctorkendramd/video/7093829092390292779,no unless you have severe kidney disease and even then its hard to od,"['no', 'unless', 'you', 'have', 'severe', 'kidney', 'disease', 'and', 'even', 'then', 'its', 'hard', 'to', 'od']","['unless', 'severe', 'kidney', 'disease', 'even', 'hard', 'od']","['unless', 'severe', 'kidney', 'disease', 'even', 'hard', 'od']",unless severe kidney disease even hard od
10,7.46805e+18,7.05e+18,"I’m sorry you’re feeling this way.Try to take deep breaths and ground yourself in the present.You’re not alone, and therapy sessions can really help you process these feelings. I'd be happy to support",alexhowardttherapy,https://www.tiktok.com/@drjulie/video/7044565779953536261,im sorry youre feeling this waytry to take deep breaths and ground yourself in the presentyoure not alone and therapy sessions can really help you process these feelings id be happy to support,"['im', 'sorry', 'youre', 'feeling', 'this', 'waytry', 'to', 'take', 'deep', 'breaths', 'and', 'ground', 'yourself', 'in', 'the', 'presentyoure', 'not', 'alone', 'and', 'therapy', 'sessions', 'can', 'really', 'help', 'you', 'process', 'these', 'feelings', 'id', 'be', 'happy', 'to', 'support']","['im', 'sorry', 'youre', 'feeling', 'waytry', 'take', 'deep', 'breaths', 'ground', 'presentyoure', 'alone', 'therapy', 'sessions', 'really', 'help', 'process', 'feelings', 'id', 'happy', 'support']","['im', 'sorry', 'youre', 'feeling', 'waytry', 'take', 'deep', 'breath', 'ground', 'presentyoure', 'alone', 'therapy', 'session', 'really', 'help', 'process', 'feeling', 'id', 'happy', 'support']",im sorry youre feeling waytry take deep breath ground presentyoure alone therapy session really help process feeling id happy support
10,7.05267e+18,7.04e+18,My own order just got delivered from gorge_junk_674 on Instagram. I’ll be starting after watching this,danl_8,https://www.tiktok.com/@drjulie/video/7044565779953536261,my own order just got delivered from gorge_junk_ on instagram ill be starting after watching this,"['my', 'own', 'order', 'just', 'got', 'delivered', 'from', 'gorge_junk_', 'on', 'instagram', 'ill', 'be', 'starting', 'after', 'watching', 'this']","['order', 'got', 'delivered', 'gorge_junk_', 'instagram', 'ill', 'starting', 'watching']","['order', 'got', 'delivered', 'gorge_junk_', 'instagram', 'ill', 'starting', 'watching']",order got delivered gorge_junk_ instagram ill starting watching
10,7.04527e+18,7.04e+18,I feel that !!!,lyna.lns,https://www.tiktok.com/@drjulie/video/7044565779953536261,i feel that,"['i', 'feel', 'that']",['feel'],['feel'],feel
10,7.05267e+18,7.04e+18,"All thanks to gorge_junk_674 on #in#st#a,gra#m,he is a great guy..I now trip joyfully😅.I buy stuffs from him. He sells and he is trusted",danl_8,https://www.tiktok.com/@drjulie/video/7044565779953536261,all thanks to gorge_junk_ on instagramhe is a great guyi now trip joyfullyi buy stuffs from him he sells and he is trusted,"['all', 'thanks', 'to', 'gorge_junk_', 'on', 'instagramhe', 'is', 'a', 'great', 'guyi', 'now', 'trip', 'joyfullyi', 'buy', 'stuffs', 'from', 'him', 'he', 'sells', 'and', 'he', 'is', 'trusted']","['thanks', 'gorge_junk_', 'instagramhe', 'great', 'guyi', 'trip', 'joyfullyi', 'buy', 'stuffs', 'sells', 'trusted']","['thanks', 'gorge_junk_', 'instagramhe', 'great', 'guyi', 'trip', 'joyfullyi', 'buy', 'stuff', 'sell', 'trusted']",thanks gorge_junk_ instagramhe great guyi trip joyfullyi buy stuff sell trusted
10,7.04461e+18,7.04e+18,Yes it can. What did they offer that you need? If you try hard enough you can find it elsewhere,abb17x,https://www.tiktok.com/@drjulie/video/7044565779953536261,yes it can what did they offer that you need if you try hard enough you can find it elsewhere,"['yes', 'it', 'can', 'what', 'did', 'they', 'offer', 'that', 'you', 'need', 'if', 'you', 'try', 'hard', 'enough', 'you', 'can', 'find', 'it', 'elsewhere']","['yes', 'offer', 'need', 'try', 'hard', 'enough', 'find', 'elsewhere']","['yes', 'offer', 'need', 'try', 'hard', 'enough', 'find', 'elsewhere']",yes offer need try hard enough find elsewhere
